product_id,product_name,aisle_id,department_id
40601,Green Lime,1,4
40617,Cucumber Local,1,4
40650,Mint Leaves,2,3
40733,Raspberry,4,1
40745,Lemon Imported,1,4
40590,Carrots,1,4
40630,Onions Red,1,4
40643,Potatoes (Selected for Chips),1,4
40769,Mango (Apple),4,1
40587,Capsicum Green,1,4
40588,Capsicum Red,1,4
40589,Capsicum Yellow,1,4
40594,Avocado (local),4,1
40627,Lettuce Hard,1,4
40690,Baby Marrow (Courgette),1,4
40750,Red Radish,1,4
40753,Red Soft Lettuce,1,4
40760,Coriander (Dhania),2,3
40771,Green Soft Lettuce,1,4
40773,Basil,2,3
40774,Tomatoes,1,4
40841,Red Cabbage,1,4
40962,Brown Eggs,3,2
40578,Baby corn,1,4
40579,Baby Spinach,1,4
40632,Onions Spring - Scallions,1,4
40672,SweetCorn,1,4
40723,Garden Peas (Shelled),1,4
40811,American Sweet Potato,1,4
40615,Cherry Tomato,1,4
40631,Onions White,1,4
40726,Birds Eye (Green Chillies),1,4
40796,Habanero,1,4
40734,Blueberry,4,1
40757,Imported Grapefruit,4,1
40582,Broccoli,1,4
40613,Cauliflower,1,4
40633,Pumpkin,4,1
40637,Snow Peas,1,4
40669,Plantain,4,1
40696,Beetroot,1,4
40924,Kampala Pineapple,4,1
40593,Apples Green (Granny Smith),4,1
40586,Cabbage White,1,4
40626,Terere,2,3
40806,Local Spinach,1,4
40844,Managu,1,4
40848,Sukuma wiki,1,4
41256,Strawberry Juice,4,1
41266,Orange Juice,4,1
41275,Lime Concentrate,1,4
41280,Apple Passion Mango,1,4
40646,Dill,1,4
40797,Sage,1,4
40621,Local Garlic,1,4
40724,Ginger,1,4
40649,Rosemary,2,3
40651,Thyme,2,3
40729,Imported Oranges,4,1
40735,Garlic (Imported),1,4
40799,Italian Parsley,2,3
40618,Cucumber English,1,4
40722,French Beans,1,4
40876,Avocado (local),4,1
40945,Portobello Mushrooms,4,1
40583,Bullet Chillies Green,1,4
40758,Green Tomatoes,1,4
40798,Banana Leafs,2,3
40635,Whole Maize,1,4
40577,Aubergine,1,4
40859,Lemon Grass,4,1
40731,Kiwi,4,1
40863,Terere,1,4
40611,Apples Red,4,1
40658,Black Passion Fruit,4,1
40928,Jalapeno,1,4
40801,Melon Water (~1 pc = 4.5 Kgs),4,1
40602,Mangoes Ngowe,4,1
40714,Coriander (Dhania),2,3
40648,Parsley,2,3
40839,White Radish,1,4
40870,Red Radish,1,4
40628,Leeks,1,4
40647,Lemongrass,4,1
40923,Kampala Pineapple,4,1
40629,Mushroom,4,1
40614,Celery,2,3
40812,Tarragon,2,3
40692,Banana Sweet,4,1
40889,Baby Courgettes,1,4
40595,Bananas (Kampala),4,1
40585,Butternut,4,1
40619,Eggplant,1,4